day_of_week,member_casual,average_ride_length
0,casual,29.4977159529496
0,member,14.2897030085623
1,casual,24.2184179862531
1,member,12.254544785995
2,casual,21.6007319883197
2,member,12.3046291523841
3,casual,22.2897601311922
3,member,12.4511598874998
4,casual,21.8503322983798
4,member,12.2822775726125
5,casual,24.2245042489574
5,member,12.4163431593112
6,casual,28.175607708557
6,member,14.0576166129942
